#   wl        direct       diffuse (W/m^2/mic)
1.7050   127.8480225     6.2307196
1.7075   116.5987549     5.6663818
1.7100   127.3903580     6.1732950
1.7125   118.3534851     5.7183313
1.7150   117.7578049     5.6726961
1.7175   122.4160843     5.8805561
1.7200   126.5644913     6.0628333
1.7225   107.0737534     5.1140838
1.7250   110.5569916     5.2649775
1.7275   116.8602371     5.5497279
1.7300   116.2581635     5.5058651
1.7325   104.6998367     4.9447975
1.7350   115.8019867     5.4541116
1.7375   104.8587570     4.9251652
1.7400    98.4910049     4.6134381
1.7425   109.1724243     5.1005864
1.7450   108.5846710     5.0601010
1.7475    87.2792206     4.0556278
1.7500   116.3485870     5.3909955
1.7525   101.2793503     4.6801200
1.7550    79.5714035     3.6671166
1.7575   116.0055084     5.3319006
1.7600   115.3649673     5.2883134
1.7625    85.9383621     3.9283237
1.7650    67.1475754     3.0607903
1.7675    92.4109955     4.2012267
1.7700    89.5286484     4.0594454
1.7725    89.0141373     4.0254903
1.7750    73.2930527     3.3058414
1.7775    56.0645256     2.5217776
1.7800    66.2589111     2.9721181
1.7825    65.8686447     2.9464984
1.7850    45.8013802     2.0432220
1.7875    49.9820938     2.2233071
1.7900    59.6463089     2.6455817
1.7925    30.5003376     1.3489511
1.7950    30.3149109     1.3369272
1.7975    43.8526993     1.9290289
1.8000    12.9737568     0.5692482
1.8025    21.8551750     0.9565030
1.8050    21.8805199     0.9551939
1.8075     9.6604528     0.4206035
1.8100    11.9561758     0.5191712
1.8125    10.0975819     0.4372386
1.8150     4.0498948     0.1748766
1.8175     4.0300484     0.1735354
1.8200     0.6926024     0.0297411
1.8225     5.1608982     0.2210337
1.8250     0.7708944     0.0329300
1.8275     0.7669869     0.0326683
1.8300     0.0629324     0.0026727
1.8325     6.6159320     0.2802938
1.8350     0.0043687     0.0001846
1.8375     0.0043461     0.0001830
1.8400     0.2893176     0.0121400
1.8425     0.6195918     0.0259058
1.8450     0.6163673     0.0256790
1.8475     0.0118464     0.0004913
1.8500     0.5009419     0.0206800
1.8525     0.3928294     0.0161265
1.8550     0.3907382     0.0159513
1.8575     0.8156769     0.0329724
